Image Src,Title,POR,Created At,Case Size,Pack Size,Price,Sale Price
https://topdf.stuffs.bid/topdf/static/samples/products/product-01.png,Alpine Spring Water,32,,24,500ml,10.80,0.65
https://topdf.stuffs.bid/topdf/static/samples/products/product-02.png,Redbrook Cola,28,NEW,24,330ml,9.60,0.59
https://topdf.stuffs.bid/topdf/static/samples/products/product-03.png,Harvest Oat Cereal,41,,12,450g,14.40,1.99
https://topdf.stuffs.bid/topdf/static/samples/products/product-04.png,Meadow Gold Butter,24,,20,250g,22.00,1.45
https://topdf.stuffs.bid/topdf/static/samples/products/product-05.png,Bramley Pasta Sauce,36,NEW,12,500g,11.40,1.29
https://topdf.stuffs.bid/topdf/static/samples/products/product-06.png,Ridgeway Crisps,44,,24,150g,16.80,0.99
https://topdf.stuffs.bid/topdf/static/samples/products/product-07.png,Orchard Apple Juice,30,,12,1L,13.20,1.49
https://topdf.stuffs.bid/topdf/static/samples/products/product-08.png,Northwind Coffee,38,NEW,8,227g,19.60,3.49
https://topdf.stuffs.bid/topdf/static/samples/products/product-09.png,Cloudbank Yoghurt,26,,12,450g,12.00,1.35
https://topdf.stuffs.bid/topdf/static/samples/products/product-10.png,Baytown Ketchup,33,,12,570g,13.80,1.59
https://topdf.stuffs.bid/topdf/static/samples/products/product-11.png,Oakfield Biscuits,39,,24,400g,15.60,0.85
https://topdf.stuffs.bid/topdf/static/samples/products/product-12.png,Summit Energy,47,NEW,24,250ml,17.40,0.95
https://topdf.stuffs.bid/topdf/static/samples/products/product-13.png,Fernvale Olive Oil,29,,6,500ml,21.00,4.29
https://topdf.stuffs.bid/topdf/static/samples/products/product-14.png,Redstone Chilli,52,,12,45g,10.20,1.19
