Image URL,Name,Description,Price,Case Size
https://topdf.stuffs.bid/topdf/static/samples/photos/item-01.png,Hex Bolt M8 x 40,"Zinc-plated steel, DIN 933",0.42,200
https://topdf.stuffs.bid/topdf/static/samples/photos/item-02.png,Nylon Lock Nut M8,"Nyloc, zinc-plated, DIN 985",0.18,500
https://topdf.stuffs.bid/topdf/static/samples/photos/item-03.png,"Nitrile Gloves, Blue","Powder-free, 4 mil, size L",6.90,100
https://topdf.stuffs.bid/topdf/static/samples/photos/item-04.png,PTFE Thread Tape,"12mm x 12m, 0.075mm gauge",0.85,50
https://topdf.stuffs.bid/topdf/static/samples/photos/item-05.png,Cable Ties 200mm,UV-stable black nylon,3.40,1000
https://topdf.stuffs.bid/topdf/static/samples/photos/item-06.png,Masking Tape 48mm,"Low-tack, 50m roll",1.95,36
https://topdf.stuffs.bid/topdf/static/samples/photos/item-07.png,"Safety Glasses, Clear","Anti-fog, EN166 rated",2.75,24
https://topdf.stuffs.bid/topdf/static/samples/photos/item-08.png,Abrasive Flap Disc 115mm,80 grit zirconium,1.60,40
https://topdf.stuffs.bid/topdf/static/samples/photos/item-09.png,Copper Pipe Clip 15mm,"Single-fix, brass finish",0.22,250
https://topdf.stuffs.bid/topdf/static/samples/photos/item-10.png,"Silicone Sealant, Clear","310ml cartridge, neutral cure",3.10,25
https://topdf.stuffs.bid/topdf/static/samples/photos/item-11.png,Wire Wheel Brush 75mm,"Crimped steel, 6mm shank",2.40,20
https://topdf.stuffs.bid/topdf/static/samples/photos/item-12.png,Utility Knife Blades,"0.5mm carbon steel, 100 pack",4.20,20
